name	lat	lon	area	pop	pop density	gdp	%foreign residents
Berlin	52.5201	13.4051	891.8	3517424	3944	184.5	35
Madrid	40.4168	3.7038	604.3	3207247	5337	221.43	13
Rome	41.9028	12.4964	"1,285"	2777979	2232	163.14	12.8
Paris	48.8566	48.8566	105.4	2203817	20300	685.67	14.8
Bucharest	44.4268	26.1025	228	1883425	8090	41.2	2.1
Vienna	48.2082	16.3738	414.6	1867960	4326.1	96.4	35
Warsaw	52.2297	21.0122	517.2	1793579	3372	86.5	1
Budapest	47.4979	19.0402	525.2	1752704	3388	48.8	1.6
Prague	50.0755	14.4378	496	1290846	4600	56.2	15
Amsterdam	52.3676	4.9041	219.3	873471	4439	172.57	40
