
Berlin,52.5201 13.4051, 891.83517424,     3944, 184.5 ,        35
Madrid,40.4168 3.7038, 604.33207247,     5337, 221.43,        13
Rome,41.9028 12.49641,285 2777979 ,    2232, 163.14 ,      12.8
Paris,48.8566 48.8566, 105.42203817, 20300, 685.67 ,         14.8
Bucharest,44.4268 26.1025,      2281883425,   8090,     41.2,      2.1
Vienna,48.2082 16.3738, 414.61867960, 4326.1,       96.4 ,     35
Warsaw,52.2297 21.0122, 517.21793579,     3372,     86.5,        1
Budapest,47.4979 19.0402, 525.21752704,       3388     48.8,      1.6
Prague,50.0755 14.4378,     4961290846,   4600,     56.2 ,     15
Amsterdam,52.3676 4.9041, 219.3 873471,       4439, 172.57,        40

